Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
634437df0ad20b37f9386fa9,600dc0cb8625143956a3c76a,APPROVED,2022-10-10T15:20:34.366000Z,2022-10-10T15:29:49.889000Z,2022-10-10T16:21:43.793000,2022-10-10T15:29:50.845934Z,556,24A88432,156,1,100,19,Female,Asian,South Africa,South Africa,South Africa,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
634437e196c7c0ae50df390a,60b8ba78d542997c6da77923,APPROVED,2022-10-10T15:18:59.224000Z,2022-10-10T15:24:40.754000Z,2022-10-10T16:21:25.153000,2022-10-10T15:24:41.254757Z,342,24A88432,344,9,96,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
634437e70bcea4a39f00ec6e,61f2aa1fa09e72f23cbaf077,APPROVED,2022-10-10T15:19:33.493000Z,2022-10-10T15:25:13.094000Z,2022-10-10T16:21:43.897000,2022-10-10T15:25:13.545545Z,340,24A88432,147,0,100,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
634437ec413c197ac29d7ec4,5c9998f7700a250001158b30,APPROVED,2022-10-10T15:19:10.452000Z,2022-10-10T15:26:07.613000Z,2022-10-10T16:21:44.002000,2022-10-10T15:26:08.045770Z,418,24A88432,163,0,100,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
634437f36c900dcd9ccd7664,5f1b05a8703c380d1393bb27,APPROVED,2022-10-10T15:19:15.215000Z,2022-10-10T15:29:36.894000Z,2022-10-10T16:21:44.109000,2022-10-10T15:29:37.285947Z,622,24A88432,514,0,100,69,Female,White,Malta,United Kingdom,Malta,English,No,DATA_EXPIRED
634437f990e2ce01fb45047c,5f10da001b822c2988fbdb89,APPROVED,2022-10-10T15:19:22.922000Z,2022-10-10T15:24:26.775000Z,2022-10-10T16:21:25.265000,2022-10-10T15:24:27.210068Z,304,24A88432,768,10,98,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
634437fb63d7b5485637b535,607bfcc67adf7f35b00c57b3,APPROVED,2022-10-10T15:19:33.010000Z,2022-10-10T15:26:43.950000Z,2022-10-10T16:21:44.218000,2022-10-10T15:26:45.034176Z,431,24A88432,359,3,99,55,Female,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
634437fd9b4f68fb340cd8b5,600463555dafb42a777cf5a3,APPROVED,2022-10-10T15:19:25.260000Z,2022-10-10T15:25:37.236000Z,2022-10-10T16:21:44.329000,2022-10-10T15:25:37.876482Z,372,24A88432,355,0,100,26,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
634437fe1cadc39e2fdac36e,6147c2a9dd3f0c5385c015cf,APPROVED,2022-10-10T15:19:30.891000Z,2022-10-10T15:25:30.664000Z,2022-10-10T16:21:44.436000,2022-10-10T15:25:31.084951Z,360,24A88432,132,1,100,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6344380020b2995e62a0b9fb,60d05712d155f607f2b7f664,APPROVED,2022-10-10T15:20:00.327000Z,2022-10-10T15:25:46.282000Z,2022-10-10T16:21:44.547000,2022-10-10T15:25:46.833477Z,346,24A88432,333,2,100,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
